1.00000,0.00000
0.99726,0.05226
0.98907,0.10396
0.97553,0.15451
0.95677,0.20337
0.93301,0.25000
0.90451,0.29389
0.87157,0.33457
0.83457,0.37157
0.79389,0.40451
0.75000,0.43301
0.70337,0.45677
0.65451,0.47553
0.60396,0.48907
0.55226,0.49726
0.50000,0.50000
0.44774,0.49726
0.39604,0.48907
0.34549,0.47553
0.29663,0.45677
0.25000,0.43301
0.20611,0.40451
0.16543,0.37157
0.12843,0.33457
0.09549,0.29389
0.06699,0.25000
0.04323,0.20337
0.02447,0.15451
0.01093,0.10396
0.00274,0.05226
0.00000,0.00000
0.00274,-0.05226
0.01093,-0.10396
0.02447,-0.15451
0.04323,-0.20337
0.06699,-0.25000
0.09549,-0.29389
0.12843,-0.33457
0.16543,-0.37157
0.20611,-0.40451
0.25000,-0.43301
0.29663,-0.45677
0.34549,-0.47553
0.39604,-0.48907
0.44774,-0.49726
0.50000,-0.50000
0.55226,-0.49726
0.60396,-0.48907
0.65451,-0.47553
0.70337,-0.45677
0.75000,-0.43301
0.79389,-0.40451
0.83457,-0.37157
0.87157,-0.33457
0.90451,-0.29389
0.93301,-0.25000
0.95677,-0.20337
0.97553,-0.15451
0.98907,-0.10396
0.99726,-0.05226
1.00000,-0.00000
